City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,Nanortalik,60.14,-45.24,43.48,67,31,6.15,GL,2020-09-02 23:59:53
158,Kangaatsiaq,68.31,-53.46,40.75,83,90,3.11,GL,2020-09-02 23:59:54
159,Dikson,73.51,80.55,40.84,84,0,9.6,RU,2020-09-02 23:59:54
160,Pimentel,-6.84,-79.93,60.57,84,12,15.3,PE,2020-09-02 23:59:54
161,Dumas,35.87,-101.97,82.99,54,1,9.17,US,2020-09-02 23:56:48
162,Grand Gaube,-20.01,57.66,69.01,84,8,9.37,MU,2020-09-02 23:59:55
163,Ahipara,-35.17,173.17,56.75,63,22,16.51,NZ,2020-09-02 23:59:55
164,Mount Gambier,-37.83,140.77,51.8,93,90,17.22,AU,2020-09-02 23:59:56
165,Necochea,-38.55,-58.74,46.99,93,100,6.02,AR,2020-09-02 23:59:56
166,Yellowknife,62.46,-114.35,55.4,47,40,17.22,CA,2020-09-02 23:59:01
167,Torun,53.01,18.6,54.0,100,46,6.93,PL,2020-09-02 23:59:56
168,Oistins,13.07,-59.53,82.4,78,75,8.05,BB,2020-09-02 23:59:57
169,Lucapa,-8.42,20.74,72.81,65,1,2.66,AO,2020-09-02 23:59:57
170,Falmouth,50.15,-5.07,62.6,100,90,9.17,GB,2020-09-02 23:59:57
171,Arcata,40.87,-124.08,64.0,82,90,5.82,US,2020-09-02 23:56:23
172,Hovd,48.01,91.64,58.8,38,0,1.45,MN,2020-09-02 23:59:58
173,Jamestown,42.1,-79.24,72.0,83,90,8.05,US,2020-09-02 23:59:38
174,Pathein,16.78,94.73,78.26,91,69,2.21,MM,2020-09-02 23:59:58
175,Dharchula,29.85,80.53,65.86,73,34,1.3,IN,2020-09-02 23:59:59
176,Ancud,-41.87,-73.82,48.0,92,99,1.99,CL,2020-09-02 23:55:32
177,Curup,-3.47,102.53,69.76,90,100,2.37,ID,2020-09-02 23:59:59
178,Los Andes,-32.83,-70.6,55.4,62,10,9.17,CL,2020-09-03 00:00:00
179,Nakambala,-15.83,27.78,61.99,66,0,10.67,ZM,2020-09-03 00:00:01
180,Nome,64.5,-165.41,50.0,66,75,18.34,US,2020-09-02 23:58:25
181,Ranong,9.97,98.63,77.0,100,20,1.66,TH,2020-09-03 00:00:02
182,Arica,-18.48,-70.3,60.01,77,90,8.05,CL,2020-09-02 23:57:39
183,Srednekolymsk,67.45,153.68,45.14,64,72,8.84,RU,2020-09-03 00:00:05
184,Shingu,33.73,135.98,82.4,88,75,18.34,JP,2020-09-03 00:00:05
185,Cabo San Lucas,22.89,-109.91,88.0,70,40,9.17,MX,2020-09-02 23:59:32
186,Maniitsoq,65.42,-52.9,44.15,61,81,10.04,GL,2020-09-03 00:00:09
187,Khatanga,71.97,102.5,46.24,70,100,17.31,RU,2020-09-03 00:00:11
188,Katherine,-14.47,132.27,82.4,61,29,6.93,AU,2020-09-03 00:00:12
189,Arraial Do Cabo,-22.97,-42.03,70.74,89,0,17.96,BR,2020-09-03 00:00:12
190,Lagoa,39.05,-27.98,73.08,80,79,4.94,PT,2020-09-03 00:00:13
191,Tak Bai,6.26,102.05,75.2,94,20,2.24,TH,2020-09-03 00:00:13
192,Maragogi,-9.01,-35.22,72.66,80,45,9.66,BR,2020-09-03 00:00:14
193,Botwood,49.15,-55.35,57.0,77,66,9.08,CA,2020-09-03 00:00:14
194,Mikhaylovka,50.06,43.24,64.99,58,0,10.0,RU,2020-09-03 00:00:15
195,Lonevag,60.53,5.49,61.0,67,37,31.09,NO,2020-09-03 00:00:15
196,Talnakh,69.49,88.4,32.0,66,90,4.47,RU,2020-09-03 00:00:16
197,Maldonado,-34.67,-54.92,54.0,100,90,8.05,UY,2020-09-03 00:00:16
198,Cabedelo,-6.98,-34.83,73.4,94,75,8.05,BR,2020-09-03 00:00:17
199,Sabzevar,36.21,57.68,63.37,29,0,6.38,IR,2020-09-03 00:00:17
200,Mujiayingzi,42.12,118.78,59.4,65,15,14.72,CN,2020-09-03 00:00:18
201,Royan,45.63,-1.03,59.0,77,0,4.7,FR,2020-09-03 00:00:18
202,Viedma,-40.81,-63.0,48.99,58,17,3.0,AR,2020-09-03 00:00:18
203,Thompson,55.74,-97.86,53.6,62,75,8.05,CA,2020-09-02 23:55:24
204,Kununurra,-15.77,128.73,78.8,51,8,4.7,AU,2020-09-03 00:00:19
205,Cherskiy,68.75,161.3,45.25,58,5,10.07,RU,2020-09-03 00:00:20
206,Batken,39.83,71.0,53.56,51,75,1.05,KG,2020-09-03 00:00:20
